Region,Region_Name,Region_Type,Seed,Strategy,Fraction_Removed,LCC_Size,Percolation_Threshold,Percolation_Type
MB,Mushroom Body,Original,N/A,random,0.0,1.0,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.05,0.9515050167224081,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.1,0.9013377926421404,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.15000000000000002,0.8511705685618729,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.2,0.8010033444816054,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.25,0.7501672240802676,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.30000000000000004,0.7,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.35000000000000003,0.6494983277591974,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.4,0.5993311036789298,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.45,0.5488294314381271,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.5,0.49866220735785954,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.55,0.4498327759197324,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.6000000000000001,0.3996655518394649,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.65,0.3494983277591973,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.7000000000000001,0.2993311036789298,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.75,0.2468227424749164,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.8,0.19531772575250836,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.8500000000000001,0.14347826086956522,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.9,0.09096989966555183,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,0.9500000000000001,0.03311036789297659,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,random,1.0,0.0,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.0,1.0,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.05,0.9515050167224081,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.1,0.8913043478260869,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.15000000000000002,0.822742474916388,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.2,0.7525083612040134,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.25,0.6956521739130435,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.30000000000000004,0.6270903010033445,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.35000000000000003,0.5635451505016722,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.4,0.4866220735785953,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.45,0.411371237458194,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.5,0.27424749163879597,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.55,0.15551839464882944,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.6000000000000001,0.09531772575250837,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.65,0.07190635451505016,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.7000000000000001,0.051839464882943144,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.75,0.021739130434782608,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.8,0.01839464882943144,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.8500000000000001,0.011705685618729096,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.9,0.010033444816053512,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,0.9500000000000001,0.0033444816053511705,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,high_degree,1.0,0.0,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.0,1.0,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.05,0.9515050167224081,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.1,0.9013377926421404,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.15000000000000002,0.8511705685618729,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.2,0.8010033444816054,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.25,0.7508361204013378,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.30000000000000004,0.7006688963210702,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.35000000000000003,0.6505016722408027,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.4,0.6003344481605352,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.45,0.5501672240802675,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.5,0.5,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.55,0.451505016722408,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.6000000000000001,0.4013377926421405,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.65,0.3511705685618729,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.7000000000000001,0.3010033444816054,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.75,0.2508361204013378,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.8,0.20066889632107024,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.8500000000000001,0.1505016722408027,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.9,0.10033444816053512,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,0.9500000000000001,0.05016722408026756,0.013443113809530297,Node
MB,Mushroom Body,Original,N/A,low_degree,1.0,0.0,0.013443113809530297,Node
FB,Fan-shaped Body,Original,N/A,random,0.0,1.0,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.05,0.9389830508474576,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.1,0.8768666972056802,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.15000000000000002,0.8172240036646816,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.2,0.7565277141548328,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.25,0.6967475950526798,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.30000000000000004,0.6401740723774622,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.35000000000000003,0.583096655978012,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.4,0.5272102611085663,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.45,0.4717361429225836,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.5,0.41759047182776,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.55,0.36752175904718276,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.6000000000000001,0.31717819514429685,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.65,0.27100320659642696,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.7000000000000001,0.22556115437471372,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.75,0.18140174072377463,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.8,0.14058634906092532,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.8500000000000001,0.10059551076500228,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.9,0.061978928080623,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,0.9500000000000001,0.02711864406779661,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,random,1.0,0.0,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.0,1.0,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.05,0.8105817682088868,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.1,0.6637654603756299,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.15000000000000002,0.5723774622079707,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.2,0.49289967934035733,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.25,0.42304168575355017,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.30000000000000004,0.34883188273018784,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.35000000000000003,0.27347686669720567,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.4,0.20636738433348603,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.45,0.1211635364177737,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.5,0.02244617498854787,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.55,0.018781493357764543,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.6000000000000001,0.0006871278057718735,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.65,0.0004580852038479157,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.7000000000000001,0.0004580852038479157,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.75,0.00022904260192395785,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.8,0.00022904260192395785,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.8500000000000001,0.00022904260192395785,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.9,0.00022904260192395785,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,0.9500000000000001,0.00022904260192395785,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,high_degree,1.0,0.0,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.0,1.0,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.05,0.9500687127805771,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.1,0.9001374255611544,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.15000000000000002,0.8502061383417315,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.2,0.8000458085203848,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.25,0.750114521300962,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.30000000000000004,0.7001832340815392,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.35000000000000003,0.6500229042601924,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.4,0.6000916170407696,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.45,0.5501603298213468,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.5,0.5,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.55,0.4500687127805772,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.6000000000000001,0.4001374255611544,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.65,0.3502061383417316,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.7000000000000001,0.3000458085203848,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.75,0.25011452130096196,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.8,0.20018323408153918,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.8500000000000001,0.1500229042601924,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.9,0.10009161704076959,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,0.9500000000000001,0.05016032982134677,0.005528551647510491,Node
FB,Fan-shaped Body,Original,N/A,low_degree,1.0,0.0,0.005528551647510491,Node
EB,Ellipsoid Body,Original,N/A,random,0.0,1.0,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.05,0.9379391100702577,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.1,0.8744730679156909,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.15000000000000002,0.8098360655737705,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.2,0.7540983606557377,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.25,0.693911007025761,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.30000000000000004,0.6302107728337237,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.35000000000000003,0.5740046838407494,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.4,0.5192037470725996,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.45,0.46697892271662766,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.5,0.4131147540983607,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.55,0.36088992974238876,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.6000000000000001,0.31124121779859487,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.65,0.2690866510538642,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.7000000000000001,0.22412177985948478,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.75,0.1793911007025761,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.8,0.13864168618266978,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.8500000000000001,0.09929742388758782,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.9,0.061826697892271666,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,0.9500000000000001,0.02646370023419204,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,random,1.0,0.0,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.0,1.0,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.05,0.9110070257611241,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.1,0.8044496487119438,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.15000000000000002,0.7271662763466042,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.2,0.6498829039812647,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.25,0.5679156908665105,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.30000000000000004,0.48243559718969553,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.35000000000000003,0.38875878220140514,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.4,0.2903981264637002,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.45,0.22716627634660422,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.5,0.16159250585480095,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.55,0.09133489461358314,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.6000000000000001,0.01873536299765808,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.65,0.00585480093676815,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.7000000000000001,0.00234192037470726,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.75,0.00234192037470726,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.8,0.00117096018735363,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.8500000000000001,0.00117096018735363,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.9,0.00117096018735363,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,0.9500000000000001,0.00117096018735363,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,high_degree,1.0,0.0,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.0,1.0,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.05,0.9508196721311475,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.1,0.9004683840749415,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.15000000000000002,0.8501170960187353,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.2,0.8009367681498829,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.25,0.7505854800936768,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.30000000000000004,0.7002341920374707,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.35000000000000003,0.6510538641686182,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.4,0.6007025761124122,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.45,0.550351288056206,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.5,0.5,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.55,0.45081967213114754,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.6000000000000001,0.40046838407494145,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.65,0.35011709601873536,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.7000000000000001,0.3009367681498829,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.75,0.2505854800936768,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.8,0.20023419203747073,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.8500000000000001,0.15105386416861827,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.9,0.10070257611241218,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,0.9500000000000001,0.05035128805620609,0.005816827701630643,Node
EB,Ellipsoid Body,Original,N/A,low_degree,1.0,0.0,0.005816827701630643,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.0,1.0,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.05,0.9515050167224081,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.1,0.9013377926421404,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.15000000000000002,0.8511705685618729,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.2,0.8010033444816054,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.25,0.7508361204013378,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.30000000000000004,0.7006688963210702,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.35000000000000003,0.6505016722408027,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.4,0.6003344481605352,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.45,0.5501672240802675,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.5,0.5,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.55,0.4511705685618729,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.6000000000000001,0.4006688963210703,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.65,0.35050167224080264,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.7000000000000001,0.3,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.75,0.2488294314381271,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.8,0.19498327759197326,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.8500000000000001,0.14214046822742474,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.9,0.08561872909698996,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.9500000000000001,0.033779264214046825,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,random,1.0,0.0,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.0,1.0,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.05,0.9515050167224081,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.1,0.9013377926421404,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.15000000000000002,0.8511705685618729,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.2,0.7993311036789298,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.25,0.745819397993311,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.30000000000000004,0.6939799331103679,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.35000000000000003,0.6421404682274248,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.4,0.5869565217391305,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.45,0.5267558528428093,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.5,0.47324414715719065,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.55,0.3896321070234114,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.6000000000000001,0.31605351170568563,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.65,0.18729096989966554,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.7000000000000001,0.05351170568561873,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.75,0.030100334448160536,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.8,0.006688963210702341,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.8500000000000001,0.0033444816053511705,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.9,0.0033444816053511705,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.9500000000000001,0.0033444816053511705,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,1.0,0.0,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.0,1.0,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.05,0.9515050167224081,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.1,0.9013377926421404,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.15000000000000002,0.8511705685618729,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.2,0.8010033444816054,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.25,0.7508361204013378,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.30000000000000004,0.7006688963210702,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.35000000000000003,0.6505016722408027,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.4,0.6003344481605352,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.45,0.5501672240802675,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.5,0.5,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.55,0.451505016722408,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.6000000000000001,0.4013377926421405,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.65,0.3511705685618729,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.7000000000000001,0.3010033444816054,0.014519352339002407,Node
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.75,0.2508361204013378,0.014519352339002407,Node
